utterance_type,utterance_text,파일번호,emotion
0,여보 오늘 참 기분 좋은 날이야. 스승의 날이라고 제자들이 날 찾아왔거든. 예상치 못한 손님이라 놀랍고 정말 기쁘더라고.,1,pleasure
1,무슨 일인지 빨리 듣고 싶네. 당신이 기쁘다는 표현을 한 건 오랜만이라 정말 궁금해. 제자들이 깜짝 파티라도 열어준 거야?,1,pleasure
0,매년 나의 제자들은 다 특별하지만 보통 첫사랑이 가장 강렬하다고들 하잖아. 처음 교사가 되던 해 첫 제자들이 나를 찾아왔어. 벌써 20년 전인데 나를 잊지 않고 찾아줘서 고맙고 기쁘더라고.,1,pleasure
1,"첫 제자들이 찾아오다니 당신이 정말 감동할 만하네. 당신의 교직 생활 20주년을 어떻게 딱 맞춰서 왔을까, 참 기특하고 제가 다 감사하네. 첫 제자들이라면 지금쯤 40대를 바라보고 있겠어.",1,pleasure
0,"그러게, 말이야. 벌써 아이의 부모가 된 녀석들이 태반이더라. 교직 생활에서 내가 성장하는 과정에 함께한 제자들이라 더 애정이 커. 그 아이들이 바르게 잘 자라서 멋진 어른이 되어가는 걸 보니까 정말 기쁘더라고.",1,pleasure
1,당신은 참 좋은 스승이었나 봐. 이렇게 세월이 흘러도 찾아와주는 다 큰 제자들이 있을 정도라니. 정말 당신의 아내로서 뿌듯하고 자랑스러운걸.,1,pleasure
0,그렇게 말해주니 쑥스러운걸. 첫 제자들한테는 참된 스승이라고 말하기도 부끄러울 정도로 서툰 선생님이었어. 그런 나를 믿고 따라준 제자들이 착하고 싹싹했던 거지.,1,pleasure
1,"당신은 참, 서툴고 부끄러운 스승이라면 어떻게 20주년에 찾아올 수가 있겠어. 당신은 정말 겸손한 성품을 가졌다니까. 당신이 인생을 밝혀준 최고의 스승이라고 잊지 못하고 찾아오는 거니까 자부심을 가져.",1,pleasure
0,당신이 이렇게 칭찬해 주니까 더 기쁜 것 같아. 만나서 너무 반가운 마음에 근처 호프집으로 가서 옛날얘기를 나눴어. 그 시절에는 당신을 만나기 전이라 아마 그때의 나를 제자들이 더 잘 알겠다.,1,pleasure
1,"먼 길 찾아온 제자들인데 맛있는 것도 먹이고 잘했네. 그러게, 그 젊은 시절 당신의 패기가 어땠을지 나도 궁금한걸. 분명 학생들이 많이 따랐을 것 같아.",1,pleasure
